date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:42:38	14651/14651	---M--	200	added ('OK')	image/jpeg	etag:%22e3b32c18ef4ad11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img4.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img4.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=IIB%20Alumni%20Reunion%202015)
10:42:41	55942/55942	---M--	200	added ('OK')	image/jpeg	etag:%22f4f06216ef4ad11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img3-Big.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img3-Big.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=IIB%20Alumni%20Reunion%202015)
10:42:44	18652/18652	---M--	200	added ('OK')	image/jpeg	etag:%22814e6818ef4ad11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img5.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img5.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=IIB%20Alumni%20Reunion%202015)
10:42:47	78009/78009	---M--	200	added ('OK')	image/jpeg	etag:%226f94e415ef4ad11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img4-Big.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img4-Big.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=IIB%20Alumni%20Reunion%202015)
10:42:48	8481/8481	---M--	200	added ('OK')	image/jpeg	etag:%224654ec17ef4ad11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img6.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img6.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=IIB%20Alumni%20Reunion%202015)
10:42:51	40403/40403	---M--	200	added ('OK')	image/jpeg	etag:%22dc588f17ef4ad11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img6-Big.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img6-Big.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=IIB%20Alumni%20Reunion%202015)
10:42:52	8362/8362	---M--	200	added ('OK')	image/jpeg	etag:%2264336917ef4ad11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img7.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img7.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=IIB%20Alumni%20Reunion%202015)
10:42:55	39029/39029	---M--	200	added ('OK')	image/jpeg	etag:%223360f416ef4ad11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img7-Big.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img7-Big.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=IIB%20Alumni%20Reunion%202015)
10:42:56	115294/115294	---M--	200	added ('OK')	image/jpeg	etag:%22dc9f9216ef4ad11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img5-Big.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img5-Big.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=IIB%20Alumni%20Reunion%202015)
10:42:58	11321/11321	---M--	200	added ('OK')	image/jpeg	etag:%22c93f297c946d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img1.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img1.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Senior%20School%20Sports%20Day%20(16%20December%202015))
10:43:07	74324/74324	---M--	200	added ('OK')	image/jpeg	etag:%22c12dd096c946d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img1-Big.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img1-Big.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Senior%20School%20Sports%20Day%20(16%20December%202015))
10:43:08	314185/314185	---M--	200	added ('OK')	image/jpeg	etag:%22ca22f3c4c0dacc1:0%22	http://www.indusschool.com/images/homePage/HomePage21.jpg	C:/Indus/Indus/www.indusschool.com/images/homePage/HomePage21.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=IIB%20Alumni%20Reunion%202015)
10:43:09	13817/13817	---M--	200	added ('OK')	image/jpeg	etag:%22ee12d195c946d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img2.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img2.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Senior%20School%20Sports%20Day%20(16%20December%202015))
10:43:11	9924/9924	---M--	200	added ('OK')	image/jpeg	etag:%22e8e1fc94c946d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img3.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img3.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Senior%20School%20Sports%20Day%20(16%20December%202015))
10:43:15	102346/102346	---M--	200	added ('OK')	image/jpeg	etag:%22d78d1097c946d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img2-Big.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img2-Big.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Senior%20School%20Sports%20Day%20(16%20December%202015))
10:43:15	142791/142791	---M--	200	added ('OK')	image/jpeg	etag:%22366ce514ef4ad11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img8-Big.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/IISB-Alumni-Reunion-Img8-Big.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=IIB%20Alumni%20Reunion%202015)
10:43:17	9780/9780	---M--	200	added ('OK')	image/jpeg	etag:%22ac3e195c946d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img4.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img4.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Senior%20School%20Sports%20Day%20(16%20December%202015))
10:43:18	64510/64510	---M--	200	added ('OK')	image/jpeg	etag:%229f48a294c946d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img3-Big.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img3-Big.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Senior%20School%20Sports%20Day%20(16%20December%202015))
10:43:19	10313/10313	---M--	200	added ('OK')	image/jpeg	etag:%2285d2d897c946d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img5.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img5.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Senior%20School%20Sports%20Day%20(16%20December%202015))
